2020-03-05 01:53:46,226 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,231 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,236 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,241 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,247 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,253 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,257 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,265 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,270 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,274 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,280 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,284 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,289 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,294 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,298 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,303 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,309 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,314 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,319 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,325 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,330 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,335 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,341 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,347 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,352 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,358 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,364 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,369 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,374 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,381 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,385 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,390 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,396 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,401 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,407 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,414 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,421 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
2020-03-05 01:53:46,429 INFO [main] c.m.f.f.a.ServiceLogAspect [ServiceLogAspect.java:38] User[localhost], At[05/03/2020 01:53:46], Visit[com.mz.finalcommunity.finalcommunity.service.DiscussPostService.addDiscussPost].
